v;trim;geo;cod-ca;ca;cod-prv;prv;loc-num;loc-imp;loc-pm2;nav-num;nav-imp;nav-pm2
2007;3;Provincia;12;Galicia;36;Pontevedra;1377;162916;1452,10;91;590039;569,68
2007;3;Comunidad;13;Comunidad de Madrid;98;COMUNIDAD DE MADRID;9384;321420;3000,19;1252;851742;1256,19
2007;3;Provincia;13;Comunidad de Madrid;28;Madrid;9384;321420;3000,19;1252;851742;1256,19
2007;3;Comunidad;14;Región de Murcia;98;REGIÓN DE MURCIA;2807;123507;1186,36;529;295489;391,88
2007;3;Provincia;14;Región de Murcia;30;Murcia;2807;123507;1186,36;529;295489;391,88
2007;3;Comunidad;15;C. Foral de Navarra;98;C. FORAL DE NAVARRA;1527;128621;1556,54;432;493542;853,77
2007;3;Provincia;15;C. Foral de Navarra;31;Navarra;1527;128621;1556,54;432;493542;853,77
2007;3;Comunidad;16;País Vasco;98;PAÍS VASCO;6829;184869;2126,50;1042;723682;1053,95
2007;3;Provincia;16;País Vasco;1;Araba / Álava;716;180088;1795,04;205;293240;621,40
2007;3;Provincia;16;País Vasco;20;Gipuzkoa;2475;168997;2109,65;382;595494;971,65
2007;3;Provincia;16;País Vasco;48;Bizkaia;3638;196722;2196,58;455;948205;1240,01
2007;3;Comunidad;17;La Rioja;98;LA RIOJA;1954;110920;1250,30;103;276095;603,02
2007;3;Provincia;17;La Rioja;26;La Rioja;1954;110920;1250,30;103;276095;603,02
2007;3;Comunidad;18;Ceuta;98;CEUTA;36;177246;1377,48;3;180000;633,80
2007;3;Provincia;18;Ceuta;51;Ceuta;36;177246;1377,48;3;180000;633,80
2007;3;Comunidad;19;Melilla;98;MELILLA;100;129243;1078,54;23;194262;701,39
2007;3;Provincia;19;Melilla;52;Melilla;100;129243;1078,54;23;194262;701,39
2007;4;Nacional;99;ESPAÑA;99;ESPAÑA;76870;191967;1804,89;15343;544885;791,69
2007;4;Comunidad;1;Andalucía;98;ANDALUCÍA;12884;141086;1448,14;2839;300021;616,83
2007;4;Provincia;1;Andalucía;4;Almería;1064;140625;1289,15;213;244287;536,64
2007;4;Provincia;1;Andalucía;11;Cádiz;1919;136783;1599,34;406;511779;684,87
2007;4;Provincia;1;Andalucía;14;Córdoba;1265;132649;1133,53;228;165902;459,86
2007;4;Provincia;1;Andalucía;18;Granada;1872;108822;1165,06;240;393940;523,97
2007;4;Provincia;1;Andalucía;21;Huelva;626;150161;1437,52;214;140727;439,92
2007;4;Provincia;1;Andalucía;23;Jaén;903;125572;946,38;179;192412;382,31
2007;4;Provincia;1;Andalucía;29;Málaga;2682;180548;1879,64;340;466232;754,04
2007;4;Provincia;1;Andalucía;41;Sevilla;2553;134186;1507,18;1019;229047;677,13
2007;4;Comunidad;2;Aragón;98;ARAGÓN;1898;187586;1573,89;1058;397271;695,12
2007;4;Provincia;2;Aragón;22;Huesca;497;109264;1266,56;149;409666;727,84
2007;4;Provincia;2;Aragón;44;Teruel;146;92501;849,91;50;558885;324,66
2007;4;Provincia;2;Aragón;50;Zaragoza;1255;223144;1750,27;859;387482;709,06
2007;4;Comunidad;3;Principado de Asturias;98;PRINCIPADO DE ASTURIAS;1836;217940;1291,35;221;458821;591,95
2007;4;Provincia;3;Principado de Asturias;33;Asturias;1836;217940;1291,35;221;458821;591,95
2007;4;Comunidad;4;Illes Balears;98;ILLES BALEARS;1787;214102;1891,68;176;532940;949,80
2007;4;Provincia;4;Illes Balears;7;Illes Balears;1787;214102;1891,68;176;532940;949,80
2007;4;Comunidad;5;Canarias;98;CANARIAS;2806;199787;1919,84;244;778792;891,61
2007;4;Provincia;5;Canarias;35;Las Palmas;1247;211936;2109,11;169;811551;921,34
2007;4;Provincia;5;Canarias;38;Santa Cruz de Tenerife;1559;190723;1778,64;75;733965;850,94
2007;4;Comunidad;6;Cantabria;98;CANTABRIA;1046;114061;1514,65;157;341570;680,72
2007;4;Provincia;6;Cantabria;39;Cantabria;1046;114061;1514,65;157;341570;680,72
2007;4;Comunidad;7;Castilla y León;98;CASTILLA Y LEÓN;3653;143081;1367,47;869;321064;615,44
2007;4;Provincia;7;Castilla y León;5;Ávila;208;67630;949,56;150;437827;640,69
2007;4;Provincia;7;Castilla y León;9;Burgos;587;161100;1509,20;240;373353;738,47
2007;4;Provincia;7;Castilla y León;24;León;703;122699;1019,82;77;202879;335,18
2007;4;Provincia;7;Castilla y León;34;Palencia;141;123842;1367,04;21;230674;370,78
2007;4;Provincia;7;Castilla y León;37;Salamanca;453;203181;1520,17;64;516358;560,64
2007;4;Provincia;7;Castilla y León;40;Segovia;175;134091;1496,55;57;206517;457,79
2007;4;Provincia;7;Castilla y León;42;Soria;150;110659;1195,89;46;524500;384,08
2007;4;Provincia;7;Castilla y León;47;Valladolid;1016;129368;1531,78;185;225846;638,73
2007;4;Provincia;7;Castilla y León;49;Zamora;220;209507;1422,87;29;141201;404,65
2007;4;Comunidad;8;Castilla-La Mancha;98;CASTILLA-LA MANCHA;2138;145395;1240,21;1202;286255;514,19
2007;4;Provincia;8;Castilla-La Mancha;2;Albacete;591;132607;955,93;359;151828;378,18
2007;4;Provincia;8;Castilla-La Mancha;13;Ciudad Real;627;131449;1304,30;137;178136;353,82
2007;4;Provincia;8;Castilla-La Mancha;16;Cuenca;187;157860;1064,07;26;36006;278,81
2007;4;Provincia;8;Castilla-La Mancha;19;Guadalajara;194;168059;1709,96;53;267458;688,21
2007;4;Provincia;8;Castilla-La Mancha;45;Toledo;539;164350;1370,75;627;403040;622,80
2007;4;Comunidad;9;Cataluña;98;CATALUÑA;11771;226949;2070,55;2289;1200030;1111,13
2007;4;Provincia;9;Cataluña;8;Barcelona;8160;253444;2331,20;1529;1618574;1385,76
2007;4;Provincia;9;Cataluña;17;Girona;1389;183735;1694,69;309;766063;804,26
2007;4;Provincia;9;Cataluña;25;Lleida;925;178127;1303,83;186;452608;558,71
2007;4;Provincia;9;Cataluña;43;Tarragona;1297;149003;1439,73;265;489171;712,14
2007;4;Comunidad;10;Comunitat Valenciana;98;COMUNITAT VALENCIANA;10186;159962;1487,34;2155;523621;719,66
2007;4;Provincia;10;Comunitat Valenciana;3;Alicante / Alacant;4061;152135;1418,05;493;341211;622,70
2007;4;Provincia;10;Comunitat Valenciana;12;Castellón / Castelló;1144;120642;1244,87;625;566016;774,09
2007;4;Provincia;10;Comunitat Valenciana;46;Valencia / València;4981;175584;1600,99;1037;579280;732,03
2007;4;Comunidad;11;Extremadura;98;EXTREMADURA;991;116317;978,55;402;129964;290,43
2007;4;Provincia;11;Extremadura;6;Badajoz;595;130673;1074,47;197;152158;330,25
2007;4;Provincia;11;Extremadura;10;Cáceres;396;96681;847,37;205;102222;240,65
2007;4;Comunidad;12;Galicia;98;GALICIA;3534;142630;1265,78;245;449850;462,29
2007;4;Provincia;12;Galicia;15;A Coruña;1262;141575;1256,36;114;502175;449,26
2007;4;Provincia;12;Galicia;27;Lugo;588;111054;906,00;41;477349;356,22
2007;4;Provincia;12;Galicia;32;Ourense;461;107697;992,50;15;272332;263,20
2007;4;Provincia;12;Galicia;36;Pontevedra;1223;171137;1548,67;75;373831;577,09
